depth,cali,gr,density,nphi,res,sonic
5728.5,9.3442,63.039,2.2176,0.313,-999.25,95.1629
5729,9.544,64.1803,2.2895,0.3585,-999.25,99.1011
5729.5,9.7337,67.9413,2.3505,0.3916,-999.25,101.9711
5730,9.7066,71.9626,2.3493,0.429,-999.25,105.2093
5730.5,9.5355,71.5119,2.3411,0.4406,-999.25,106.2134
5731,9.4358,73.9484,2.3258,0.4383,-999.25,106.0121
5731.5,9.4648,80.2409,2.3304,0.4293,-999.25,105.2296
5732,9.4437,84.4877,2.3423,0.4137,-999.25,103.8801
5732.5,9.4349,88.0274,2.3501,0.4112,-999.25,103.66
5733,9.5351,87.3026,2.3701,0.3801,-999.25,100.9673
5733.5,9.5341,83.6562,2.3779,0.3653,-999.25,99.6862
5734,9.5356,84.5085,2.3608,0.3579,-999.25,99.0479
5734.5,9.4835,88.9642,2.3441,0.3464,-999.25,98.0491
5735,9.3376,88.4536,2.3496,0.3535,-999.25,98.6703
5735.5,9.3393,83.5656,2.3493,0.3847,-999.25,101.3677
